mol_id,raw_smiles,canonical_smiles,isomeric_smiles,inchi_key,skeleton_key,tautomer_family_key,molecular_weight,formal_charge,heavy_atom_count,status,message,no,cas,pLC50,exposure_type,effect,Literature,DOI,Type
"(1S,4S)-4-(3,4-Dichlorphenyl)-1,2,3,4-tetrahydro-N-methyl-1-naphthalenamine",CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,VGKDLMBJGBXTGI-UHFFFAOYSA-N,VGKDLMBJGBXTGI,VGKDLMBJGBXTGI-UHFFFAOYSA-N,306.236,0,20,success,ok,1,79617-96-2,6.33,R,MOR,"Johnson,D.J., 2004. Risk Assessment of Selective Serotonin Reuptake Inhibitors:  Comparing Methods in Tiered Environmental Risk Assessment. Ph.D. Thesis, University of Guelph, Ontario, Canada:124 p. ",,PAHs
1-Naphthalenol,Oc1cccc2ccccc12,Oc1cccc2ccccc12,Oc1cccc2ccccc12,KJCVRFUGPWSIIH-UHFFFAOYSA-N,KJCVRFUGPWSIIH,KJCVRFUGPWSIIH-UHFFFAOYSA-N,144.17299999999997,0,11,success,ok,2,90-15-3,4.53,F,MOR,"Holcombe,G.W., G.L. Phipps, M.L. Knuth, and T. Felhaber, 1984. The Acute Toxicity of Selected Substituted Phenols, Benzenes and Benzoic Acid Esters to Fathead Minnows Pimephales promelas. Environ. Pollut. A.35(4): 367-381",本地文件（4630ug/L）：Geiger et al. Volume 2 - Acute Toxicities of Organic Chemicals to Fathead Minnows.pdf,PAHs
1-benzofuran,c1ccc2occc2c1,c1ccc2occc2c1,c1ccc2occc2c1,IANQTJSKSUMEQM-UHFFFAOYSA-N,IANQTJSKSUMEQM,IANQTJSKSUMEQM-UHFFFAOYSA-N,118.13499999999996,0,9,success,ok,3,271-89-6,3.93,F,MOR,"Geiger,D.L., D.J. Call, and L.T. Brooke, 1988. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI4:355 p.",,PAHs
"2-Methyl-1,4-naphthalenedione",CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,MJVAVZPDRWSRRC,MJVAVZPDRWSRRC-UHFFFAOYSA-N,172.18299999999996,0,13,success,ok,4,58-27-5,6.19,F,MOR,"Geiger,D.L., D.J. Call, and L.T. Brooke, 1988. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI4:355 p.",,PAHs
Acenaphthene,c1cc2c3c(cccc3c1)CC2,c1cc2c3c(cccc3c1)CC2,c1cc2c3c(cccc3c1)CC2,CWRYPZZKDGJXCA-UHFFFAOYSA-N,CWRYPZZKDGJXCA,CWRYPZZKDGJXCA-UHFFFAOYSA-N,154.21199999999993,0,12,success,ok,5,83-32-9,4.98,F,MOR,"Holcombe,G.W., G.L. Phipps, and J.T. Fiandt, 1983. Toxicity of Selected Priority Pollutants to Various Aquatic Organisms. Ecotoxicol. Environ. Saf.7(4): 400-409",本地文件（1730ug/L）：Geiger et al. Volume 2 - Acute Toxicities of Organic Chemicals to Fathead Minnows.pdf,PAHs
Acridine,c1ccc2nc3ccccc3cc2c1,c1ccc2nc3ccccc3cc2c1,c1ccc2nc3ccccc3cc2c1,DZBUGLKDJFMEHC-UHFFFAOYSA-N,DZBUGLKDJFMEHC,DZBUGLKDJFMEHC-UHFFFAOYSA-N,179.22199999999998,0,14,success,ok,6,260-94-6,4.79,F,MOR,"Blaylock,B.G., M.L. Frank, and J.F. McCarthy, 1985. Comparative Toxicity of Copper and Acridine to Fish, Daphnia and Algae. Environ. Toxicol. Chem.4(1): 63-71",10.1002/etc.5620040109,PAHs
Azulene,c1ccc2cccc-2cc1,c1ccc2cccc-2cc1,c1ccc2cccc-2cc1,CUFNKYGDVFVPHO-UHFFFAOYSA-N,CUFNKYGDVFVPHO,CUFNKYGDVFVPHO-UHFFFAOYSA-N,128.17399999999995,0,10,success,ok,7,275-51-4,4.15,R,MOR,"Sweet,L.I., and P.G. Meier, 1997. Lethal and Sublethal Effects of Azulene and Longifolene to Microtox, Ceriodaphnia dubia, Daphnia magna, and Pimephales promelas. Bull. Environ. Contam. Toxicol.58(2): 268-274",10.1007/s001289900330,PAHs
Carbazole,c1ccc2c(c1)[nH]c1ccccc12,c1ccc2c(c1)[nH]c1ccccc12,c1ccc2c(c1)[nH]c1ccccc12,UJOBWOGCFQCDNV-UHFFFAOYSA-N,UJOBWOGCFQCDNV,UJOBWOGCFQCDNV-UHFFFAOYSA-N,167.21099999999998,0,13,success,ok,8,86-74-8,5.25,F,MOR,"Brooke,L.T., 1991. Results of Freshwater Exposures with the Chemicals Atrazine, Biphenyl, Butachlor, Carbaryl, Carbazole, Dibenzofuran, 3,3'-Dichlorobenzidine, Dichlorvos, 1,2-Epoxyethylbenzene (Styrene Oxide), Isophorone, Isopropalin, Ox. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:110 p.",,PAHs
Dibenzofuran,c1ccc2c(c1)oc1ccccc12,c1ccc2c(c1)oc1ccccc12,c1ccc2c(c1)oc1ccccc12,TXCDCPKCNAJMEE-UHFFFAOYSA-N,TXCDCPKCNAJMEE,TXCDCPKCNAJMEE-UHFFFAOYSA-N,168.195,0,13,success,ok,9,132-64-9,4.97,F,MOR,"Geiger,D.L., D.J. Call, and L.T. Brooke, 1988. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI4:355 p.",,PAHs
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,c1ccc2c(c1)-c1cccc3cccc-2c13,c1ccc2c(c1)-c1cccc3cccc-2c13,GVEPBJHOBDJJJI-UHFFFAOYSA-N,GVEPBJHOBDJJJI,GVEPBJHOBDJJJI-UHFFFAOYSA-N,202.25599999999997,0,16,success,ok,10,206-44-0,5.98,F,MOR,"Spehar,R.L., S. Poucher, L.T. Brooke, D.J. Hansen, D. Champlin, and D.A. Cox, 1999. Comparative Toxicity of Fluoranthene to Freshwater and Saltwater Species Under Fluorescent and Ultraviolet Light. Arch. Environ. Contam. Toxicol.37(4): 496-502",,PAHs
